"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cluster"
"Tmem60",0.555388280714938,0.68893691482532,0.118,0.09,1,"Tmem60","9"
"Dcxr5",0.555707752150447,1.59795350814315,0.029,0.016,1,"Dcxr","9"
"Zbtb342",0.555707752369991,1.5848133631325,0.029,0.016,1,"Zbtb34","9"
"Gm158864",0.556085287952405,1.56224773908737,0.029,0.016,1,"Gm15886","9"
"1700019D03Rik2",0.557284169163264,1.04990984650818,0,0.01,1,"1700019D03Rik","9"
"Gm163413",0.557284169163264,1.16812035615944,0,0.01,1,"Gm16341","9"
"Shf2",0.557284169163264,1.22339639932653,0,0.01,1,"Shf","9"
"Lbp3",0.557284169163264,1.18160389777083,0,0.01,1,"Lbp","9"
"Pars22",0.557284169163264,1.23412444768606,0,0.01,1,"Pars2","9"
"Gm288091",0.557284169163264,1.25080143101792,0,0.01,1,"Gm28809","9"
"Il4i11",0.557284169163264,1.19509946437242,0,0.01,1,"Il4i1","9"
"Gm155033",0.557284169163264,1.21364002389981,0,0.01,1,"Gm15503","9"
"Lyl13",0.557284169163264,1.25124289264008,0,0.01,1,"Lyl1","9"
"P4htm3",0.557284169163264,1.17034676237653,0,0.01,1,"P4htm","9"
"Gm317633",0.557284169163264,1.23049688014211,0,0.01,1,"Gm31763","9"
"Zfp8673",0.557284169163264,1.173820473708,0,0.01,1,"Zfp867","9"
"Shld34",0.557284169163264,1.23108983563198,0,0.01,1,"Shld3","9"
"Apobec24",0.557284169163264,1.18673132660604,0,0.01,1,"Apobec2","9"
"Ccdc1151",0.557998615629109,0.83154216263264,0.088,0.064,1,"Ccdc115","9"
"BC0249782",0.558353125678268,1.51449340407907,0.029,0.016,1,"BC024978","9"
"Arl21",0.558475527625278,0.978851463743722,0.059,0.039,1,"Arl2","9"
"Gm59141",0.559002811271557,1.00262941633227,0.059,0.039,1,"Gm5914","9"
"Rragc1",0.559050549132664,0.599213380751255,0.118,0.087,1,"Rragc","9"
"Mrpl48",0.559278275478385,0.521507208649835,0.118,0.085,1,"Mrpl48","9"
"Comtd12",0.559487969246165,0.995783265020849,0.059,0.039,1,"Comtd1","9"
"Ehd12",0.559711410390407,0.767734976303082,0.088,0.063,1,"Ehd1","9"
"Ing4",0.559731667050596,0.688211567040507,0.118,0.087,1,"Ing4","9"
"Scnm1",0.560242206579791,0.660311087933535,0.088,0.061,1,"Scnm1","9"
"Ell24",0.560501734904366,1.01684575638472,0.059,0.039,1,"Ell2","9"
"Abhd14a2",0.561383885023839,1.53176539441791,0.029,0.016,1,"Abhd14a","9"
"Epb41l13",0.561465184639308,1.2420757231371,0,0.01,1,"Epb41l1","9"
"Unc5a3",0.561465184639308,1.20886400392822,0,0.01,1,"Unc5a","9"
